Date,ViTroxian,Subcon,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions,Daily_cars
11/23/2021,767,263,88.5,78,81.5,104.1,0,11,110.26,4.8,42.3,87.09,Partially cloudy,662
11/24/2021,761,266,89.6,76.3,82.8,100.7,0,9.7,133.13,5.3,40.7,80.42,Partially cloudy,669
11/25/2021,733,273,87.1,76.8,81.3,97.9,0,7.6,145.67,4.7,49,84.02,Partially cloudy,674
11/26/2021,722,277,85.3,77,81,97.2,0,8.1,101.43,5.2,41.8,84.76,Partially cloudy,634
11/27/2021,44,78,87.9,77,82,100.1,0,7.7,118.73,5.3,40.1,81.24,Partially cloudy,610
11/28/2021,22,35,87.1,77,80.7,97.6,0,8.3,80.48,4.9,39.8,85.13,Partially cloudy,662
11/29/2021,692,269,83.5,76.2,78.3,92.4,0,6.2,96.57,4.7,43.2,90.08,Partially cloudy,670
11/30/2021,752,271,86.7,75.2,80.8,98.8,0,8.1,174.57,4.6,42.6,85.14,Partially cloudy,615
12/1/2021,748,265,87.8,78.8,82.1,101.4,0,9.2,124.42,5.2,39.9,86.03,Partially cloudy,615
12/2/2021,731,268,82,76.9,79.2,88.7,0,8.6,64.43,4.8,47.8,88.55,Partially cloudy,638
12/3/2021,711,246,81.7,75.2,78.8,87.9,0,11.3,24.83,5.1,42.5,86.87,Partially cloudy,683
12/4/2021,50,93,89.2,76.3,81.7,97.6,0,12.5,33.17,5.4,37.5,75.38,Partially cloudy,642
12/5/2021,27,34,88.6,76.3,81.8,95.9,0,15.7,39.17,5.4,36.1,73.09,Partially cloudy,634
12/6/2021,691,238,84.9,76.1,80.3,91.8,0,10.1,74.54,5.4,36.1,74.53,Partially cloudy,529
12/7/2021,734,249,91.2,76.3,82.7,99.2,0,10.3,91.92,5.6,36.1,70.92,Partially cloudy,588
12/8/2021,747,243,90.4,76.3,82.8,98.1,0,10.6,85.63,5.7,36.7,71.99,Partially cloudy,625
12/9/2021,721,249,91.4,77.5,83.6,100.5,0,11.7,37.67,5.6,35.7,69.38,Partially cloudy,586
